vlr_pedido,vlr_mercadoria,qtd_pedido,qtd_peca,qtd_adicional,vlr_unit_adicional,dias_ate_abertura,tempo_resolucao,idade_produto,num_os,id_posto,id_consumidor,id_revendedor,pedido,aberta,nao_ligar,reprocesso,aguo,barulho,nao_bater,vazamento,nao_funcionar,nao_centrifugo,estetico,nao_agitar,problema,tampa,bater,motor,travar,cuba,esteticofuncional,vazar,quebrar,nao_drenar,nao_sair,nao_gelo,queimar,manipulo,rachar,baixo,funcionar,fazer,cheirar,nao_desligar,parar,painel,ligar,batedor,forca,base,sair,botao,centrifugar,video,esquentar,defeito,anexo,lateral,roupa,ficar,fumaca,maquino,agitar,avariar,gostar,desligar,nao_abrir,centrifugacao,nao_giro,funcional,parte,estranho,daguar,ruim,lavagem,processo,fraco,transbordar,nao_fazer,conforme,nao_fechar,cliente,centrifugo,solto,trar,soltar,tomar,nao_entrar,ciclo,congelar,anexar,dar,foto,lento,polia,gelar,abrir,so,tanquinho,lavadora,lavar,derreter,dentro,danificar,ta,mangueiro,comecar,timer,descolar,rachadura,encaixar,cesto,cubo,linha_ARMÁRIO,linha_BEBEDOURO,linha_CENTRÍFUGA,linha_DEPURADOR,linha_DIVERSOS,linha_LAVADORA AUTO,linha_PEÇAS,linha_SEMI AUTOMÁTICA,origem_CONSUMIDOR,origem_REVENDEDOR,status_ABERTA CALL-CENTER,status_AGUARDANDO ANÁLISE,status_AGUARDANDO CONSERTO,status_AGUARDANDO INFORMAR OS PRODUTOS,status_AGUARDANDO PEÇAS,status_AGUARDANDO RETIRADA,status_AUDITORIA,status_FINALIZADA,status_FINALIZADA (CANCELADA PELO FABRICANTE),status_FINALIZADA (CANCELADA PELO POSTO),status_FINALIZADA (PAGAMENTO BLOQUEADO),status_FINALIZADA (REPROVADA AUDITORIA),status_FINALIZADA (SEM RESOLUÇÃO),finalidade_GARANTIA,finalidade_REPROCESSO,finalidade_REVENDEDOR,defeito_constatado_AGITA SEM ÁGUA,defeito_constatado_BARULHO,defeito_constatado_BARULHO AO AGITAR,defeito_constatado_BARULHO AO CENTRIFUGAR,defeito_constatado_BARULHO AO ENCHER,defeito_constatado_BASE DERRETIDA,defeito_constatado_BATENDO NAS LATERAIS,defeito_constatado_BOTÃO TRAVADO,defeito_constatado_CARACTERÍSTICAS DE PRODUTO,defeito_constatado_CESTO SOLTO,defeito_constatado_CHEIRANDO QUEIMADO,defeito_constatado_CONGELANDO A ÁGUA,defeito_constatado_CONSUMIDOR AUSENTE,defeito_constatado_CONSUMIDOR NÃO ACEITA REPARO,defeito_constatado_DANDO CHOQUE,defeito_constatado_DERRETENDO,defeito_constatado_DÚVIDAS DE USO,defeito_constatado_ESQUENTANDO,defeito_constatado_FALTANDO PEÇA NO PRODUTO,defeito_constatado_GOSTO RUIM,defeito_constatado_LÂMPADA NÃO ACENDE,defeito_constatado_MANÍPULO TRAVADO,defeito_constatado_NÃO ABRE A TAMPA,defeito_constatado_NÃO AGITA,defeito_constatado_NÃO BATE,defeito_constatado_NÃO CENTRIFUGA,defeito_constatado_NÃO DESLIGA,defeito_constatado_NÃO DRENA,defeito_constatado_NÃO ENTRA ÁGUA,defeito_constatado_NÃO ENXAGUA,defeito_constatado_NÃO GELA,defeito_constatado_NÃO LIGA,defeito_constatado_NÃO REALIZADO  SEM PEÇAS REPOSIÇÃO,defeito_constatado_NÃO REALIZADO +30 DIAS,defeito_constatado_NÃO SAI ÁGUA,defeito_constatado_OBJETO ESTRANHO NA PEÇA,defeito_constatado_PAINEL NÃO LIGA,defeito_constatado_PEÇA DESCOLANDO,defeito_constatado_PINGANDO,defeito_constatado_PRENDENDO AS ROUPAS,defeito_constatado_PROBLEMA ESTÉTICO,defeito_constatado_PROBLEMAS NA INSTALAÇÃO,defeito_constatado_PRODUTO SEM DEFEITO,defeito_constatado_REPROCESSO - ESTÉTICO/FUNCIONAL,defeito_constatado_SAI POUCA ÁGUA,defeito_constatado_SAI ÁGUA MORNA/QUENTE,defeito_constatado_SEM FORÇA,defeito_constatado_SINISTRO,defeito_constatado_TRANSBORDANDO ÁGUA,defeito_constatado_VAZAMENTO DE ÁGUA,defeito_constatado_VAZAMENTO DE ÓLEO,defeito_constatado_VAZAMENTO ENTRE A CUBA E PAINEL,defeito_constatado_VAZAMENTO PELA CUBA,defeito_constatado_VAZAMENTO PELA MANGUEIRA,defeito_constatado_VAZAMENTO PELO ACOPLAMENTO,defeito_constatado_VAZAMENTO PELO DRENO,defeito_constatado_VAZAMENTO PELO LADRÃO,user_abertura_FABRICANTE,user_abertura_POSTO,st_posto_Ativo,st_posto_Em Processo de Descredenciamento,st_posto_Inativo,tp_pedido_Garantia,modelo_ACQUA COMPRESSOR,modelo_ACQUA ELETRONICO,modelo_BEB PREMIUM,modelo_CENTRIFUGA,modelo_COMUM,modelo_COOK 60,modelo_COOK 80,modelo_DCM 60,modelo_FILTRO,modelo_GOURMET 80,modelo_LCA 11,modelo_LCA 12,modelo_LCA 15,modelo_LCM 15,modelo_LCS 10,modelo_LCS 14,modelo_LCS 15,modelo_LCS 16,modelo_LCS 18,modelo_LCS 20,modelo_LCS 8,"modelo_LCT 4,5",modelo_LCT 6,modelo_MULTILINHAS,modelo_NEW PIONEER,modelo_PUR PREMIUM,abertura_janeiro,abertura_fevereiro,abertura_marco,abertura_abril,abertura_maio,abertura_junho,abertura_julho,abertura_agosto,abertura_setembro,abertura_outubro,abertura_novembro,abertura_dezembro,fechamento_janeiro,fechamento_fevereiro,fechamento_marco,fechamento_abril,fechamento_maio,fechamento_junho,fechamento_julho,fechamento_agosto,fechamento_setembro,fechamento_outubro,fechamento_novembro,fechamento_dezembro,fabric_janeiro,fabric_fevereiro,fabric_marco,fabric_abril,fabric_maio,fabric_junho,fabric_julho,fabric_agosto,fabric_setembro,fabric_outubro,fabric_novembro,fabric_dezembro,compra_janeiro,compra_fevereiro,compra_marco,compra_abril,compra_maio,compra_junho,compra_julho,compra_agosto,compra_setembro,compra_outubro,compra_novembro,compra_dezembro,pedido_janeiro,pedido_fevereiro,pedido_marco,pedido_abril,pedido_maio,pedido_junho,pedido_julho,pedido_agosto,pedido_setembro,pedido_outubro,pedido_novembro,pedido_dezembro,anomaly_score,is_outlier
-0.645064718814869,-0.4759143653448771,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0016412414231744,1
-0.7131805840387424,-0.5612339948743275,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0018391412973581267,1
-0.7658279061639673,-0.6271782503672093,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0018980744764308666,1
-0.6806152301468508,-0.5204437337447098,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0016412414231744,1
-0.8013784174959492,-0.6717076187670421,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.002182353305021867,1
-0.7248498358500036,-0.5758505051124405,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0018391412973581267,1
-0.645064718814869,-0.4759143653448771,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0016412414231744,1
-0.7131805840387424,-0.5612339948743275,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0018391412973581267,1
-0.7658279061639673,-0.6271782503672093,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0018980744764308666,1
-0.6806152301468508,-0.5204437337447098,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0016412414231744,1
-0.8013784174959492,-0.6717076187670421,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.002182353305021867,1
-0.7248498358500036,-0.5758505051124405,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0018391412973581267,1
-0.645064718814869,-0.4759143653448771,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0016412414231744,1
-0.7131805840387424,-0.5612339948743275,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0018391412973581267,1
-0.7658279061639673,-0.6271782503672093,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0018980744764308666,1
-0.6806152301468508,-0.5204437337447098,0.57194065968137,-0.07124482382248244,,,-0.9667798610086291,0.8899182324444446,-0.5709212961225406,50713995,206,410602.0,2739,303360,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0016412414231744,1
